序号,NEW_TYPE,大类,中类,小类,Big Category,Mid Category,Sub Category
715,160310,金融保险服务,自动提款机,中国光大银行ATM,Finance & Insurance Service,ATM,China Everbright Bank ATM
716,160311,金融保险服务,自动提款机,上海银行ATM,Finance & Insurance Service,ATM,Bank of Shanghai ATM
717,160312,金融保险服务,自动提款机,上海浦东发展银行ATM,Finance & Insurance Service,ATM,Shanghai Pudong Development Bank ATM
718,160314,金融保险服务,自动提款机,平安银行ATM,Finance & Insurance Service,ATM,Ping An Bank ATM
719,160315,金融保险服务,自动提款机,兴业银行ATM,Finance & Insurance Service,ATM,Industrial Bank ATM
720,160316,金融保险服务,自动提款机,北京银行ATM,Finance & Insurance Service,ATM,Bank of Beijing ATM
721,160317,金融保险服务,自动提款机,广发银行ATM,Finance & Insurance Service,ATM,CGB ATM
722,160318,金融保险服务,自动提款机,农村商业银行ATM,Finance & Insurance Service,ATM,Rural Commercial Bank ATM
723,160319,金融保险服务,自动提款机,香港恒生银行ATM,Finance & Insurance Service,ATM,Hong Kong Hang Seng Bank ATM
724,160320,金融保险服务,自动提款机,东亚银行ATM,Finance & Insurance Service,ATM,Bank of East Asia ATM
725,160321,金融保险服务,自动提款机,花旗银行ATM,Finance & Insurance Service,ATM,Citibank ATM
726,160322,金融保险服务,自动提款机,渣打银行ATM,Finance & Insurance Service,ATM,Standard Chartered Bank ATM
727,160323,金融保险服务,自动提款机,汇丰银行ATM,Finance & Insurance Service,ATM,HSBC ATM
728,160324,金融保险服务,自动提款机,荷兰银行ATM,Finance & Insurance Service,ATM,ABN AMRO Bank ATM
729,160325,金融保险服务,自动提款机,美国运通银行ATM,Finance & Insurance Service,ATM,American Express Bank ATM
730,160326,金融保险服务,自动提款机,瑞士友邦银行ATM,Finance & Insurance Service,ATM,AIG Private Bank ATM
731,160327,金融保险服务,自动提款机,美国银行ATM,Finance & Insurance Service,ATM,Bank of America ATM
732,160328,金融保险服务,自动提款机,蒙特利尔银行ATM,Finance & Insurance Service,ATM,Bank of Montreal ATM
733,160329,金融保险服务,自动提款机,纽约银行ATM,Finance & Insurance Service,ATM,Bank of New York ATM
734,160330,金融保险服务,自动提款机,苏格兰皇家银行ATM,Finance & Insurance Service,ATM,The Royal Bank of Scotland ATM
735,160331,金融保险服务,自动提款机,法国兴业银行ATM,Finance & Insurance Service,ATM,Societe Generale Bank ATM
736,160332,金融保险服务,自动提款机,德意志银行ATM,Finance & Insurance Service,ATM,Deutsche Bank ATM
737,160333,金融保险服务,自动提款机,日本三菱东京日联银行ATM,Finance & Insurance Service,ATM,Bank of Tokyo-Mitsubishi UFJ ATM
738,160334,金融保险服务,自动提款机,巴克莱银行ATM,Finance & Insurance Service,ATM,Barclays Bank ATM
739,160335,金融保险服务,自动提款机,摩根大通银行ATM,Finance & Insurance Service,ATM,JPMorgan Chase Bank ATM
740,160336,金融保险服务,自动提款机,中国邮政储蓄银行ATM,Finance & Insurance Service,ATM,Postal Savings Bank of China ATM
741,160337,金融保险服务,自动提款机,香港星展银行ATM,Finance & Insurance Service,ATM,DBS ATM
742,160338,金融保险服务,自动提款机,南洋商业银行ATM,Finance & Insurance Service,ATM,Nanyang Commercial Bank ATM
743,160339,金融保险服务,自动提款机,上海商业银行ATM,Finance & Insurance Service,ATM,Shanghai Commercial Bank ATM
744,160340,金融保险服务,自动提款机,永亨银行ATM,Finance & Insurance Service,ATM,Wing Hang Bank ATM
745,160341,金融保险服务,自动提款机,香港永隆银行ATM,Finance & Insurance Service,ATM,Wing Lung Bank ATM
746,160342,金融保险服务,自动提款机,创兴银行ATM,Finance & Insurance Service,ATM,Chong Hing Bank ATM
747,160343,金融保险服务,自动提款机,大新银行ATM,Finance & Insurance Service,ATM,Dah Sing Bank ATM
748,160344,金融保险服务,自动提款机,中信银行(国际)ATM,Finance & Insurance Service,ATM,China CITIC Bank International ATM
749,160345,金融保险服务,自动提款机,大众银行(香港)ATM,Finance & Insurance Service,ATM,Public Bank (Hong Kong) ATM
750,160346,金融保险服务,自动提款机,北京农商银行ATM,Finance & Insurance Service,ATM,Beijing Rural Commercial Bank ATM
751,160347,金融保险服务,自动提款机,上海农商银行ATM,Finance & Insurance Service,ATM,Shanghai Rural Commercial Bank ATM
752,160348,金融保险服务,自动提款机,广州农商银行ATM,Finance & Insurance Service,ATM,Guangzhou Rural Commercial Bank ATM
753,160349,金融保险服务,自动提款机,深圳农村商业银行ATM,Finance & Insurance Service,ATM,Shenzhen Rural Commercial Bank ATM
754,160400,金融保险服务,保险公司,保险公司,Finance & Insurance Service,Insurance Company,Insurance Company
755,160401,金融保险服务,保险公司,中国人民保险公司,Finance & Insurance Service,Insurance Company,The People's Insurance Company of China
756,160402,金融保险服务,保险公司,中国人寿保险公司,Finance & Insurance Service,Insurance Company,China Life Insurance Company
757,160403,金融保险服务,保险公司,中国平安保险公司,Finance & Insurance Service,Insurance Company,Ping An Insurance Company of China
758,160404,金融保险服务,保险公司,中国再保险公司,Finance & Insurance Service,Insurance Company,China Reinsurance Company
759,160405,金融保险服务,保险公司,中国太平洋保险,Finance & Insurance Service,Insurance Company,China Pacific Insurance Company
760,160406,金融保险服务,保险公司,新华人寿保险公司,Finance & Insurance Service,Insurance Company,New China Life Insurance Company
761,160407,金融保险服务,保险公司,华泰财产保险股份有限公司,Finance & Insurance Service,Insurance Company,Huatai Property Insurance Company Ltd.
762,160408,金融保险服务,保险公司,泰康人寿保险公司,Finance & Insurance Service,Insurance Company,Taikang Life Insurance Company
763,160500,金融保险服务,证券公司,证券公司,Finance & Insurance Service,Securities Company,Securities Company
764,160501,金融保险服务,证券公司,证券营业厅,Finance & Insurance Service,Securities Company,Office of Securities Business
765,160600,金融保险服务,财务公司,财务公司,Finance & Insurance Service,Finance Company,Finance Company
766,170000,公司企业,公司企业,公司企业,Enterprises,Enterprises,Enterprises
767,170100,公司企业,知名企业,知名企业,Enterprises,Famous Enterprise,Famous Enterprise
768,170200,公司企业,公司,公司,Enterprises,Company,Company
769,170201,公司企业,公司,广告装饰,Enterprises,Company,Advertisement and Decoration
770,170202,公司企业,公司,建筑公司,Enterprises,Company,Construction Company
771,170203,公司企业,公司,医药公司,Enterprises,Company,Medical Company
772,170204,公司企业,公司,机械电子,Enterprises,Company,Machinery and Electronics
773,170205,公司企业,公司,冶金化工,Enterprises,Company,Chemical and Metallurgy
774,170206,公司企业,公司,网络科技,Enterprises,Company,Network Science and Technology
775,170207,公司企业,公司,商业贸易,Enterprises,Company,Commercial Trade
776,170208,公司企业,公司,电信公司,Enterprises,Company,Telecommunication Company
777,170209,公司企业,公司,矿产公司,Enterprises,Company,Mining Company
778,170300,公司企业,工厂,工厂,Enterprises,Factory,Factory
779,170400,公司企业,农林牧渔基地,其它农林牧渔基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Other Farming，Forestry，Animal Husbandry and Fishery Base
780,170401,公司企业,农林牧渔基地,渔场,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Fishing Farm
781,170402,公司企业,农林牧渔基地,农场,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Farm
782,170403,公司企业,农林牧渔基地,林场,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Forest Farm
783,170404,公司企业,农林牧渔基地,牧场,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Pasture
784,170405,公司企业,农林牧渔基地,家禽养殖基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Poultry Breeding Base
785,170406,公司企业,农林牧渔基地,蔬菜基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Vegetable Planting Base
786,170407,公司企业,农林牧渔基地,水果基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Fruit Cultivation Base
787,170408,公司企业,农林牧渔基地,花卉苗圃基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Flower Nurserey Base
788,180000,道路附属设施,道路附属设施,道路附属设施,Road Furniture,Road Furniture,Road Furniture
789,180100,道路附属设施,警示信息,警示信息,Road Furniture,Warning Sign,Warning Sign
790,180101,道路附属设施,警示信息,摄像头,Road Furniture,Warning Sign,Camera
791,180102,道路附属设施,警示信息,测速设施,Road Furniture,Warning Sign,Speed Sensor
792,180103,道路附属设施,警示信息,铁路道口,Road Furniture,Warning Sign,Railway Crossing
793,180104,道路附属设施,警示信息,违章停车,Road Furniture,Warning Sign,Illegal Parking
794,180200,道路附属设施,收费站,收费站,Road Furniture,Toll Gate,Toll Gate
795,180201,道路附属设施,收费站,高速收费站,Road Furniture,Toll Gate,Expressway Toll Gate
796,180202,道路附属设施,收费站,国省道收费站,Road Furniture,Toll Gate,National and Provincial Road Toll Gate
797,180203,道路附属设施,收费站,桥洞收费站,Road Furniture,Toll Gate,Tunnel & Bridge Toll Gate
798,180300,道路附属设施,服务区,高速服务区,Road Furniture,Service Area,Expressway Service Area
799,180301,道路附属设施,服务区,高速加油站服务区,Road Furniture,Service Area,Expressway Filling Station Service Area
800,180302,道路附属设施,服务区,高速停车区,Road Furniture,Service Area,Expressway Parking Area
801,180400,道路附属设施,红绿灯,红绿灯,Road Furniture,Traffic Light,Traffic Light
802,180500,道路附属设施,路牌信息,路牌信息,Road Furniture,Signpost,Signpost
803,190000,地名地址信息,地名地址信息,地名地址信息,Place Name & Address,Place Name & Address,Place Name & Address
804,190100,地名地址信息,普通地名,普通地名,Place Name & Address,Normal Place Name,Normal Place Name
805,190101,地名地址信息,普通地名,国家名,Place Name & Address,Normal Place Name,Country Name
806,190102,地名地址信息,普通地名,省级地名,Place Name & Address,Normal Place Name,Provincial Place Name
807,190103,地名地址信息,普通地名,直辖市级地名,Place Name & Address,Normal Place Name,Municipal Place Name
808,190104,地名地址信息,普通地名,地市级地名,Place Name & Address,Normal Place Name,Prefecture-level Place Name
809,190105,地名地址信息,普通地名,区县级地名,Place Name & Address,Normal Place Name,District/County-level Place Name
810,190106,地名地址信息,普通地名,乡镇级地名,Place Name & Address,Normal Place Name,Township-level Place Name
811,190107,地名地址信息,普通地名,街道级地名,Place Name & Address,Normal Place Name,Subdistrict-level Place Name
812,190108,地名地址信息,普通地名,村庄级地名,Place Name & Address,Normal Place Name,Village-level Place Name
813,190109,地名地址信息,普通地名,村组级地名,Place Name & Address,Normal Place Name,Village Team-level Place Name
814,190200,地名地址信息,自然地名,自然地名,Place Name & Address,Natural Place Name,Natural Place Name
815,190201,地名地址信息,自然地名,海湾海峡,Place Name & Address,Natural Place Name,Gulf and Strait
816,190202,地名地址信息,自然地名,岛屿,Place Name & Address,Natural Place Name,Island
817,190203,地名地址信息,自然地名,山,Place Name & Address,Natural Place Name,Mountain
818,190204,地名地址信息,自然地名,河流,Place Name & Address,Natural Place Name,River
819,190205,地名地址信息,自然地名,湖泊,Place Name & Address,Natural Place Name,Lake
820,190300,地名地址信息,交通地名,交通地名,Place Name & Address,Transportation Place Name,Transportation Place Name
821,190301,地名地址信息,交通地名,道路名,Place Name & Address,Transportation Place Name,Road Name
822,190302,地名地址信息,交通地名,路口名,Place Name & Address,Transportation Place Name,Name of Intersection
823,190303,地名地址信息,交通地名,环岛名,Place Name & Address,Transportation Place Name,Name of Roundabout
824,190304,地名地址信息,交通地名,高速路出口,Place Name & Address,Transportation Place Name,Expressway Exit
825,190305,地名地址信息,交通地名,高速路入口,Place Name & Address,Transportation Place Name,Expressway Entrance
826,190306,地名地址信息,交通地名,立交桥,Place Name & Address,Transportation Place Name,Motorway Interchange
827,190307,地名地址信息,交通地名,桥,Place Name & Address,Transportation Place Name,Bridge
828,190308,地名地址信息,交通地名,城市快速路出口,Place Name & Address,Transportation Place Name,Urban Expressway Exit
829,190309,地名地址信息,交通地名,城市快速路入口,Place Name & Address,Transportation Place Name,Urban Expressway Entrance
830,190310,地名地址信息,交通地名,隧道,Place Name & Address,Transportation Place Name,Tunnel
831,190311,地名地址信息,交通地名,铁路,Place Name & Address,Transportation Place Name,Railway
832,190400,地名地址信息,门牌信息,门牌信息,Place Name & Address,Address Sign,Address Sign
833,190401,地名地址信息,门牌信息,地名门牌,Place Name & Address,Address Sign,Placename Sign
834,190402,地名地址信息,门牌信息,道路门牌,Place Name & Address,Address Sign,Road Name Sign
835,190403,地名地址信息,门牌信息,楼栋号,Place Name & Address,Address Sign,Building Number
836,190500,地名地址信息,市中心,城市中心,Place Name & Address,City Center,City Center
837,190600,地名地址信息,标志性建筑物,标志性建筑物,Place Name & Address,Landmark Buildings,Landmark Buildings
838,190700,地名地址信息,热点地名,热点地名,Place Name & Address,The hot names,The hot names
839,200000,公共设施,公共设施,公共设施,Public Facility,Public Facility,Public Facility
840,200100,公共设施,报刊亭,报刊亭,Public Facility,Newsstand,Newsstand
841,200200,公共设施,公用电话,公用电话,Public Facility,Public Phone,Public Phone
842,200300,公共设施,公共厕所,公共厕所,Public Facility,Public Toilet,Public Toilet
843,200301,公共设施,公共厕所,男洗手间,Public Facility,Public Toilet,Male Toilet
844,200302,公共设施,公共厕所,女洗手间,Public Facility,Public Toilet,Female Toilet
845,200303,公共设施,公共厕所,残障洗手间/无障碍洗手间,Public Facility,Public Toilet,Wheelchair Accessible
846,200304,公共设施,公共厕所,婴儿换洗间/哺乳室/母婴室,Public Facility,Public Toilet,Room of Mother and Infant
847,200400,公共设施,紧急避难场所,紧急避难场所,Public Facility,Emergency Shelter,Emergency Shelter
848,220000,事件活动,事件活动,事件活动,Incidents and Events,Incidents and Events,Incidents and Events
849,220100,事件活动,公众活动,公众活动,Incidents and Events,Public Event,Public Event
850,220101,事件活动,公众活动,节日庆典,Incidents and Events,Public Event,Festival Celebration
851,220102,事件活动,公众活动,展会展览,Incidents and Events,Public Event,Convention & Exposition
852,220103,事件活动,公众活动,体育赛事,Incidents and Events,Public Event,Sports Event
853,220104,事件活动,公众活动,文艺演出,Incidents and Events,Public Event,Art Performance
854,220105,事件活动,公众活动,大型会议,Incidents and Events,Public Event,Conference
855,220106,事件活动,公众活动,运营活动,Incidents and Events,Public Event,Operating Activities
856,220107,事件活动,公众活动,商场活动,Incidents and Events,Public Event,Marketplace Activities
857,220200,事件活动,突发事件,突发事件,Incidents and Events,Emergency,Emergency
858,220201,事件活动,突发事件,自然灾害,Incidents and Events,Emergency,Natural Disaster
859,220202,事件活动,突发事件,事故灾难,Incidents and Events,Emergency,Accident
860,220203,事件活动,突发事件,城市新闻,Incidents and Events,Emergency,City News
861,220204,事件活动,突发事件,公共卫生事件,Incidents and Events,Emergency,Public?Health?Event
862,220205,事件活动,突发事件,公共社会事件,Incidents and Events,Emergency,Public Social Event
863,970000,室内设施,室内设施,室内设施,Indoor facilities,Indoor facilities,Indoor facilities
864,990000,通行设施,通行设施,通行设施,Pass Facilities,Pass Facilities,Pass Facilities
865,991000,通行设施,建筑物门,建筑物门,Pass Facilities,Gate of Buildings,Gate of Buildings
866,991001,通行设施,建筑物门,建筑物正门,Pass Facilities,Gate of Buildings,Main Gate of Buildings
867,991400,通行设施,临街院门,临街院门,Pass Facilities,Gate of Street House,Gate of Street House
868,991401,通行设施,临街院门,临街院正门,Pass Facilities,Gate of Street House,Main Entrance of Street House Gate
869,991500,通行设施,虚拟门,虚拟门,Pass Facilities,Virtual Gate,Virtual Gate
,,,,,,,
